epochs,neuronsPerClass,LR,testClass,result,guessIndex
1,5,0.1,Liedown_bed,0.02304964539007092,9
1,5,0.1,Drink_glass,0.8631578947368421,0
1,5,0.1,Eat_meat,0.37889688249400477,0
1,5,0.1,Brush_teeth,0.23606044815007818,1
1,5,0.1,Pour_water,0.2,2
1,5,0.1,Climb_stairs,0.33689839572192515,0
,,,,,
1,10,0.001,Standup_chair,0.06930693069306931,3
1,10,0.001,Walk,0.546916890080429,0
1,10,0.001,Sitdown_chair,-1,-1
1,10,0.001,Use_telephone,0.345821325648415,0
1,10,0.001,Comb_hair,0.1206896551724138,1
1,10,0.001,Getup_bed,0.07339449541284404,5
1,10,0.001,Eat_soup,0.1830238726790451,2
1,10,0.001,Descend_stairs,0.32432432432432434,1
1,10,0.001,Liedown_bed,0.15602836879432624,1
1,10,0.001,Drink_glass,0.43157894736842106,0
1,10,0.001,Eat_meat,0.4148681055155875,0
1,10,0.001,Brush_teeth,0.2027097446586764,1
1,10,0.001,Pour_water,0.2,0
1,10,0.001,Climb_stairs,0.053475935828877004,4
,,,,,
1,10,0.01,Standup_chair,0.06930693069306931,3
1,10,0.01,Walk,0.5388739946380697,0
1,10,0.01,Sitdown_chair,-1,-1
1,10,0.01,Use_telephone,0.35446685878962536,0
1,10,0.01,Comb_hair,0.10775862068965517,2
1,10,0.01,Getup_bed,0.07339449541284404,5
1,10,0.01,Eat_soup,0.1856763925729443,2
1,10,0.01,Descend_stairs,0.34684684684684686,1
1,10,0.01,Liedown_bed,0.15425531914893617,1
1,10,0.01,Drink_glass,0.43157894736842106,0
1,10,0.01,Eat_meat,0.4228617106314948,0
1,10,0.01,Brush_teeth,0.2720166753517457,0
1,10,0.01,Pour_water,0.20909090909090908,0
1,10,0.01,Climb_stairs,0.06951871657754011,3
,,,,,
1,10,0.1,Standup_chair,0.06930693069306931,5
1,10,0.1,Walk,0.5067024128686327,0
1,10,0.1,Sitdown_chair,-1,-1
1,10,0.1,Use_telephone,0.28530259365994237,1
1,10,0.1,Comb_hair,0.14655172413793102,0
1,10,0.1,Getup_bed,0.045871559633027525,7
1,10,0.1,Eat_soup,0.22811671087533156,2
1,10,0.1,Descend_stairs,0.4009009009009009,0
1,10,0.1,Liedown_bed,0.1950354609929078,1
