epochs,neuronsPerClass,LR,testClass,result,guessIndex
1,10,0.001,Getup_bed,0.03669724770642202,6
1,10,0.001,Eat_soup,0.16180371352785147,2
1,10,0.001,Descend_stairs,0.33783783783783783,1
1,10,0.001,Liedown_bed,0.14361702127659576,1
1,10,0.001,Drink_glass,0.43157894736842106,0
1,10,0.001,Eat_meat,0.4084732214228617,0
1,10,0.001,Brush_teeth,0.23449713392391872,1
1,10,0.001,Pour_water,0.2,0
1,10,0.001,Climb_stairs,0.03208556149732621,4
,,,,,
1,10,0.01,Standup_chair,0.10891089108910891,2
1,10,0.01,Walk,0.514745308310992,0
1,10,0.01,Sitdown_chair,-1,-1
1,10,0.01,Use_telephone,0.33429394812680113,0
1,10,0.01,Comb_hair,0.16163793103448276,0
1,10,0.01,Getup_bed,0.027522935779816515,8
1,10,0.01,Eat_soup,0.14058355437665782,2
1,10,0.01,Descend_stairs,0.32882882882882886,1
1,10,0.01,Liedown_bed,0.15780141843971632,1
1,10,0.01,Drink_glass,0.3473684210526316,0
1,10,0.01,Eat_meat,0.37729816147082335,0
1,10,0.01,Brush_teeth,0.31735278791036997,0
1,10,0.01,Pour_water,0.2,0
1,10,0.01,Climb_stairs,0.15508021390374332,2
,,,,,
1,10,0.1,Standup_chair,-1,-1
1,10,0.1,Walk,0.005361930294906166,7
1,10,0.1,Sitdown_chair,0.030303030303030304,2
1,10,0.1,Use_telephone,0.4956772334293948,0
1,10,0.1,Comb_hair,0.32112068965517243,0
1,10,0.1,Getup_bed,0.03669724770642202,4
1,10,0.1,Eat_soup,0.010610079575596816,7
1,10,0.1,Descend_stairs,0.17117117117117117,2
1,10,0.1,Liedown_bed,0.09397163120567376,2
1,10,0.1,Drink_glass,-1,-1
1,10,0.1,Eat_meat,0.20783373301358912,0
1,10,0.1,Brush_teeth,0.7055758207399687,0
1,10,0.1,Pour_water,-1,-1
1,10,0.1,Climb_stairs,0.0053475935828877,8
,,,,,
2,1,0.001,Standup_chair,0.48514851485148514,0
2,1,0.001,Walk,0.005361930294906166,4
2,1,0.001,Sitdown_chair,-1,-1
2,1,0.001,Use_telephone,0.005763688760806916,5
2,1,0.001,Comb_hair,0.5862068965517241,0
2,1,0.001,Getup_bed,-1,-1
2,1,0.001,Eat_soup,-1,-1
2,1,0.001,Descend_stairs,-1,-1
2,1,0.001,Liedown_bed,0.10638297872340426,1
2,1,0.001,Drink_glass,-1,-1
2,1,0.001,Eat_meat,-1,-1
2,1,0.001,Brush_teeth,0.3710265763418447,0
2,1,0.001,Pour_water,0.17272727272727273,1
2,1,0.001,Climb_stairs,-1,-1
,,,,,
2,1,0.01,Standup_chair,-1,-1
2,1,0.01,Walk,-1,-1
2,1,0.01,Sitdown_chair,-1,-1
2,1,0.01,Use_telephone,-1,-1
2,1,0.01,Comb_hair,0.42887931034482757,1
2,1,0.01,Getup_bed,-1,-1
2,1,0.01,Eat_soup,-1,-1
2,1,0.01,Descend_stairs,0.11261261261261261,1
2,1,0.01,Liedown_bed,-1,-1
2,1,0.01,Drink_glass,-1,-1
2,1,0.01,Eat_meat,-1,-1
2,1,0.01,Brush_teeth,0.9343408025013028,0
2,1,0.01,Pour_water,-1,-1
2,1,0.01,Climb_stairs,-1,-1
,,,,,
2,1,0.1,Standup_chair,-1,-1
2,1,0.1,Walk,-1,-1
2,1,0.1,Sitdown_chair,-1,-1
2,1,0.1,Use_telephone,-1,-1
2,1,0.1,Comb_hair,-1,-1
2,1,0.1,Getup_bed,-1,-1
2,1,0.1,Eat_soup,-1,-1
2,1,0.1,Descend_stairs,-1,-1
2,1,0.1,Liedown_bed,-1,-1
2,1,0.1,Drink_glass,-1,-1
2,1,0.1,Eat_meat,1.0,0
2,1,0.1,Brush_teeth,-1,-1
2,1,0.1,Pour_water,-1,-1
2,1,0.1,Climb_stairs,-1,-1
,,,,,
2,2,0.001,Standup_chair,0.04950495049504951,3
2,2,0.001,Walk,0.45308310991957107,0
2,2,0.001,Sitdown_chair,0.030303030303030304,5
2,2,0.001,Use_telephone,0.34293948126801155,0
2,2,0.001,Comb_hair,0.0021551724137931034,12
2,2,0.001,Getup_bed,0.01834862385321101,8
2,2,0.001,Eat_soup,0.23342175066312998,0
2,2,0.001,Descend_stairs,0.32432432432432434,1
2,2,0.001,Liedown_bed,0.06205673758865248,5
2,2,0.001,Drink_glass,0.021052631578947368,4
2,2,0.001,Eat_meat,0.11670663469224621,4
2,2,0.001,Brush_teeth,0.1709223553934341,2
2,2,0.001,Pour_water,0.07272727272727272,3
2,2,0.001,Climb_stairs,0.016042780748663103,7
,,,,,
2,2,0.01,Standup_chair,-1,-1
2,2,0.01,Walk,-1,-1
2,2,0.01,Sitdown_chair,-1,-1
2,2,0.01,Use_telephone,-1,-1
2,2,0.01,Comb_hair,0.5301724137931034,0
2,2,0.01,Getup_bed,-1,-1
2,2,0.01,Eat_soup,-1,-1
2,2,0.01,Descend_stairs,0.04504504504504504,3
2,2,0.01,Liedown_bed,0.0017730496453900709,8
2,2,0.01,Drink_glass,-1,-1
2,2,0.01,Eat_meat,-1,-1
2,2,0.01,Brush_teeth,0.8593017196456487,0
2,2,0.01,Pour_water,-1,-1
2,2,0.01,Climb_stairs,-1,-1
